id,article_nr,medium_code,relevant,frames_present,dominant_frame,resp_accused_actors,moral_position,conflict_parties,raw_text
1156121,1,BU,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
968325,2,BZ,1,1;3;6;7;8,1,EU;Bundesrat;Wirtschaftsverbände,restriktiv,SVP;Bundesrat;Wirtschaftsverbände;EU,"{
    ""relevant"": 1,
    ""frames_present"": [1, 3, 6, 7, 8],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Bundesrat"", ""Wirtschaftsverbände""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Bundesrat"", ""Wirtschaftsverbände"", ""EU""]
    }
}"
978384,3,NZZ,1,1;2;8,2,NA,NA,Befürworter der Personenfreizügigkeit;Gegner der Personenfreizügigkeit,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""Befürworter der Personenfreizügigkeit"",
      ""Gegner der Personenfreizügigkeit""
    ]
  }
}"
1158675,4,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1328370,5,BU,1,NA,0,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1086391,6,NZZ,1,1;2;6;8,6,Schweiz;EU,NA,Befürworter der Personenfreizügigkeit;Kritische Fragesteller,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Schweiz"", ""EU""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Befürworter der Personenfreizügigkeit"", ""Kritische Fragesteller""]
  }
}"
1154296,7,BLI,1,2;6;8,2,SVP;Zürcher Bauernverband,NA,Schweizer Bauernverband;Zürcher Bauernverband;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Zürcher Bauernverband""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweizer Bauernverband"", ""Zürcher Bauernverband"", ""SVP""]
  }
}"
1107525,8,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
952149,9,NZZ,1,1;2;3;6;8,8,SVP,NA,SVP;CVP;BDP;SP;FDP;GPS;GLP;EVP,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 3, 6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""CVP"", ""BDP"", ""SP"", ""FDP"", ""GPS"", ""GLP"", ""EVP""]
  }
}"
979723,10,NZZ,1,6;8,8,Bundesrat,NA,SVP;Bundesrat,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesrat""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Bundesrat""]
    }
}"
1092060,11,BU,1,1;6;8,1,Kantone;Parlament;Zürcher Regierungsrat,NA,Bürgerliche Parteien;Gewerkschaften;Kantone,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Kantone"", ""Parlament"", ""Zürcher Regierungsrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bürgerliche Parteien"", ""Gewerkschaften"", ""Kantone""]
  }
}"
1005153,12,SGT,1,1;3;6;7,1,Exekutive;Verwaltung,restriktiv,NA,"{
    ""relevant"": 1,
    ""frames_present"": [1, 3, 6, 7],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""Exekutive"", ""Verwaltung""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": null
}"
1256776,13,TA,1,1;6;8,6,Stadtzürcher Behörde;EU-Vertretungen,NA,Stadt Zürich;Stadt Bern und Hilfswerke,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Stadtzürcher Behörde"", ""EU-Vertretungen""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Stadt Zürich"", ""Stadt Bern und Hilfswerke""]
  }
}"
1219899,14,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1245555,15,BU,0,NA,0,NA,NA,NA,"{
  ""relevant"": 0,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1018984,16,BU,1,2,2,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [2],
    ""dominant_frame"": 2,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1163314,17,TA,1,1;6;8,1,Regierung;EU,NA,Neuenburg;Basel-Stadt;FDP;BDP;CVP;SP;Auns,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Regierung"", ""EU""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Neuenburg"", ""Basel-Stadt"", ""FDP"", ""BDP"", ""CVP"", ""SP"", ""Auns""]
  }
}"
1109484,18,TA,1,NA,0,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1150477,19,SGT,1,2;8,2,NA,NA,Schweizer Bauernverband;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweizer Bauernverband"", ""SVP""]
  }
}"
1179509,20,BLI,1,6;8,6,Bundesrat,NA,SVP;Bundesrat,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesrat""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Bundesrat""]
    }
}"
984578,21,BU,1,1;6;8,6,SVP;BFS,NA,SVP;BFS,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""BFS""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""BFS""]
    }
}"
1045561,22,SRF,1,6;8,8,EU;SVP,NA,SVP;EU,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU"", ""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""EU""]
  }
}"
1031958,23,ZWA,1,6;8,8,Economiesuisse,NA,SVP;Economiesuisse,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""Economiesuisse""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Economiesuisse""]
  }
}"
972584,24,SGT,1,2;6;7,2,Initiative,liberal,NA,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 7],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""Initiative""]
  },
  ""moral_frame"": {
    ""position"": ""liberal""
  },
  ""conflict_frame"": null
}"
985978,25,SGT,1,3;6;8,6,JSVP;Anian Liebrand,NA,JSVP;Juso;politisch links gepoltes Umfeld,"{
  ""relevant"": 1,
  ""frames_present"": [3, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""JSVP"", ""Anian Liebrand""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""JSVP"", ""Juso"", ""politisch links gepoltes Umfeld""]
  }
}"
981494,26,BZ,1,6;8,8,Linke;SVP,NA,Rudolf Strahm;Linke;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""Linke"", ""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Rudolf Strahm"", ""Linke"", ""SVP""]
  }
}"
977980,27,ZWA,1,2;6;8,6,SVP;Bundesrat,NA,SVP;Bundesrat,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""Bundesrat""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Bundesrat""]
    }
}"
951714,28,NZZ,1,1;6;7,1,EU;Arbeitgeber,restriktiv,NA,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 7],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Arbeitgeber""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": null
}"
1086410,29,SGT,1,6;8,6,SVP;Schweizer Regierung,NA,Schweiz;EU,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Schweizer Regierung""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweiz"", ""EU""]
  }
}"
1150232,30,BU,1,1;6;8,6,Bundesamt für Migration;Bundesrat;Joseph Deiss,NA,Bundesrat;Kantone;Gemeinden;SVP,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesamt für Migration"", ""Bundesrat"", ""Joseph Deiss""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Bundesrat"", ""Kantone"", ""Gemeinden"", ""SVP""]
    }
}"
1209446,31,NZZ,1,1;2;6;7,2,NA,restrictive,NA,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 7],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": []
  },
  ""moral_frame"": {
    ""position"": ""restrictive""
  },
  ""conflict_frame"": null
}"
